header,header,header,header,header,header,header
0.833333333,1,0,0,0,0,0
0.727272727,0,0,0,0,0,2
0.696969697,0,1,0,1,1,1
0.772727273,0,0,0,1,0,0
0.712121212,1,0,0,1,0,1
0.803030303,0,1,0,1,0,1
0.606060606,1,0,0,1,0,1
0.787878788,0,0,0,1,1,0
0.787878788,2,1,1,1,0,1
0.803030303,2,1,0,1,1,1
0.575757576,2,0,0,1,1,0
0.636363636,0,1,0,1,1,1
0.651515152,0,0,0,1,0,0
0.666666667,0,1,1,1,0,1
0.272727273,1,1,0,1,1,1
0,2,1,0,1,1,1
0.712121212,0,1,0,1,1,1
0.893939394,0,0,0,1,0,1
0.757575758,0,1,1,1,0,1
0.696969697,0,0,0,0,0,1
0.772727273,0,0,0,1,0,2
0.651515152,0,0,0,1,0,1
0.712121212,1,0,0,1,1,1
0.727272727,1,0,0,1,0,2
0.833333333,0,0,1,0,0,1
0.333333333,2,1,0,1,1,1
0.893939394,0,0,0,1,0,1
0.727272727,2,1,0,1,0,0
0.166666667,1,1,0,1,0,1
0.863636364,2,0,0,1,0,1
0.787878788,0,0,0,1,1,1
0.696969697,2,1,1,1,1,0
0.803030303,2,0,2,1,0,1
0.681818182,0,0,1,1,0,2
